id,title,url,average_page_views_per_visit,bounce_rate,has_integration,last_visited,page_views,rank,visits
5227882165146759000,Varmt vand | Energistyrelsen,https://sparenergi.dk/forbruger/varme/varmt-vand,1.09,84.87,False,2023-09-25,21613,40,19808
10504854822176546083,Søgeresultat | Energistyrelsen,https://sparenergi.dk/google-search,1.34,35.8,False,2023-05-09,20795,41,15487
12776221601676924758,Varmepumpelisten: Vælg den rette varmepumpemodel,https://sparenergi.dk/varmepumpelisten,1.78,44.21,False,2024-07-09,20331,42,11392
8444349224052636935,Offentlig,https://sparenergi.dk/offentlig,1.36,31.62,False,2024-07-09,20281,43,14903
6701603171298986340,Erhvervspuljen: Få tilskud til den grønne omstilling | SparEnergi,https://sparenergi.dk/erhvervspuljen,1.51,43.47,False,2024-07-09,20147,44,13354
9513327592985890489,Site under opdatering | Energistyrelsen,https://sparenergi.dk/erhverv/vaerktojer/erhvervstilskud,1.29,51.44,False,2023-09-19,20037,45,15523
3194204526686498037,Varmepumpetyper | Energistyrelsen,https://sparenergi.dk/forbruger/varme/varmepumpe/varmepumpetyper,1.19,65.59,False,2023-09-25,17965,46,15075
6300330630080573869,Fejl 404 – siden kunne ikke findes | Energistyrelsen,https://sparenergi.dk/forbruger/varme/forsta-din-varmeregning,1.14,70.68,False,2023-03-31,17845,47,15687
5425926498020908286,Spareråd på arbejdspladsen | Energistyrelsen,https://sparenergi.dk/erhverv/sparerad-pa-arbejdspladsen,1.25,52.55,False,2023-09-10,17775,48,14187
4101617473851917296,Ansøgervejledning til Bygningspuljen,https://sparenergi.dk/forbruger/materialer/ansogervejledning-til-bygningspuljen,1.13,31.87,False,2023-03-31,17000,49,15108
11150530529172648470,Elberegner til beregning af elforbrug | SparEnergi,https://sparenergi.dk/privat/elforbrugsberegner,1.47,33.0,False,2024-07-02,16898,50,11533
5746279576792369867,Køl og frys | Energistyrelsen,https://sparenergi.dk/forbruger/el/koel-og-frys,1.14,69.07,False,2024-04-09,16605,51,14564
3756925484380250780,Varmepumpelisten | Energistyrelsen,https://old.sparenergi.dk/forbruger/vaerktoejer/varmepumpelisten,1.31,67.89,False,2024-07-08,15720,52,11984
6024168761643885200,Tilskud,https://old.sparenergi.dk/forbruger/boligen/tilskud,1.29,51.76,False,2024-07-08,15595,53,12106
11088015394424079555,Tilskud til skift af varme | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/tilskud/tilskud-til-skift-af-varme,1.17,54.34,False,2023-04-06,15402,54,13129
733690320155471865,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/energimaerkning-boliger,1.22,58.68,False,2023-10-25,15148,55,12370
